year,globalaveragetemp,cityaveragetemp
1892,8.07,8.35
1893,8.06,10.05
1894,8.16,9.42
1895,8.15,8.91
1896,8.21,9.41
1897,8.29,9.50
1898,8.18,10.08
1899,8.40,9.85
1900,8.50,9.73
1901,8.54,9.20
1902,8.30,8.95
1903,8.22,9.45
1904,8.09,9.18
1905,8.23,9.25
1906,8.38,9.62
1907,7.95,9.03
1908,8.19,9.31
1909,8.18,8.70
1910,8.22,9.39
1911,8.18,10.22
1912,8.17,9.57
1913,8.30,9.89
1914,8.59,9.98
1915,8.59,9.07
1916,8.23,9.28
1917,8.02,8.65
1918,8.13,9.60
1919,8.38,8.48
1920,8.36,9.67
1921,8.57,10.60
1922,8.41,8.81
1923,8.42,9.17
1924,8.51,9.34
1925,8.53,9.31
1926,8.73,9.83
1927,8.52,9.25
1928,8.63,9.69
1929,8.24,9.09
1930,8.63,9.70
1931,8.72,9.12
1932,8.71,9.57
1933,8.34,9.96
1934,8.63,10.11
1935,8.52,9.90
1936,8.55,9.43
1937,8.70,9.69
1938,8.86,10.18
1939,8.76,9.77
1940,8.76,9.06
1941,8.77,9.09
1942,8.73,9.10
1943,8.76,10.19
1944,8.85,9.62
1945,8.58,10.39
1946,8.68,9.58
1947,8.80,9.75
1948,8.75,10.16
1949,8.59,10.63
1950,8.37,9.75
1951,8.63,9.52
1952,8.64,9.35
1953,8.87,9.95
1954,8.56,9.35
1955,8.63,9.39
1956,8.28,8.87
1957,8.73,10.26
1958,8.77,9.66
1959,8.73,10.63
1960,8.58,9.88
1961,8.80,10.20
1962,8.75,8.65
1963,8.86,8.48
1964,8.41,9.53
1965,8.53,9.03
1966,8.60,9.59
1967,8.70,9.81
1968,8.52,9.48
1969,8.60,9.47
1970,8.70,9.69
1971,8.60,9.89
1972,8.50,9.41
1973,8.95,9.75
1974,8.47,9.70
1975,8.74,9.99
1976,8.35,10.28
1977,8.85,9.69
1978,8.69,9.41
1979,8.73,9.06
1980,8.98,9.54
1981,9.17,9.38
1982,8.64,10.07
1983,9.03,10.12
1984,8.69,9.75
1985,8.66,9.00
1986,8.83,8.94
1987,8.99,9.22
1988,9.20,9.82
1989,8.92,10.76
1990,9.23,10.94
1991,9.18,9.67
1992,8.84,10.15
1993,8.87,9.69
1994,9.04,10.48
1995,9.35,10.55
1996,9.04,9.27
1997,9.20,10.64
1998,9.52,10.40
1999,9.29,10.86
2000,9.20,10.52
2001,9.41,10.18
2002,9.57,10.91
2003,9.53,10.81
2004,9.32,10.77
2005,9.70,10.63
2006,9.53,11.10
2007,9.73,10.83
2008,9.43,10.38
2009,9.51,10.52
2010,9.70,9.38
2011,9.52,11.19
2012,9.51,10.00
2013,9.61,9.91
